rarityID,commonName,species,wingspan,size,identiftingMarks,range,description,matingSeason
Common,Crested Caracara,Caracara plancus,The wingspan is typically 47–52 inches (120–132 cm). (verified),The Crested Caracara is a medium-sized raptor with a length of 19–26 inches (49–65 cm). (verified),"Distinguished by bold black-and-white plumage, bright yellow-orange face and legs, a flat, shaggy black crest, and a heavy bill. In flight, it displays a distinct pattern with pale patches near the wingtips, a white chest, and a white base to the tail. (verified)","Ranges from the southern United States (Arizona, Texas, Louisiana, and Florida), Mexico, and Central America, through the majority of mainland South America to Tierra del Fuego. (verified)","The Crested Caracara combines the raptorial instincts of the eagle with the base carrion-feeding habits of the vulture. This medium-sized, bulky raptor has long legs and a flat head with a shaggy crest. It is an opportunist, feeding on invertebrates, vertebrates, and carrion, and is often seen walking or running on the ground. It inhabits open habitats such as grasslands, prairies, pastures, and deserts. (verified)","The breeding season varies by location. In Texas, it spans from January to September; in Florida, it is prolonged, with nesting pairs laying eggs from September through July; in Patagonia, it extends from September through January. (verified)"
Legendary,Guadalupe Caracara,Caracara lutosa,Approximately 132 cm (about 52 inches). (verified),Approximately 60 cm (about 23.6 inches) in length. (verified),"The Guadalupe Caracara was dark coffee-brown with white cheeks and throat, and barred underparts. It possessed a large head with a small crest, a featherless chrome-yellow face, a cream-yellow cere, and a light lead-blue beak. (verified)","Endemic to the island of Guadalupe, located approximately 217 km west of the Baja California peninsula, Mexico. (verified)","The Guadalupe Caracara was a bird of prey endemic to Guadalupe Island, off the coast of Mexico, and was discovered in 1875 and extinct by 1900. It was a bold scavenger and predator, known to feed on carrion and hunt small animals, including young goats introduced to the island. Its extinction was primarily driven by intentional eradication due to its perception as a pest and competition with goat hunters. It was a medium-sized raptor with dark brown plumage, a featherless yellow face, and a hooked bill. (verified)","The specific mating season is not definitively recorded in literature due to the species' early extinction; however, historical inferences suggest they nested in elevated areas like cliffs or trees and produced small clutches of 1-2 eggs. (unverified)"
Common,Yellow-headed Caracara,Milvago chimachima,N/A (Specific data for wingspan is not consistently provided in summary accounts.),Small; the species is described as a small caracara. Exact measurements are not provided in current general summaries.,"Adults are mostly pale buffy-yellow with a narrow dark eye line, dark brown upperparts, and dark brown banding on the tail. Juveniles are also buffy but with dark streaking throughout. (verified)","Found from southwestern Nicaragua, Costa Rica, and Panama through Colombia, the Guianas, and Trinidad, south to the Amazon basin, eastern Bolivia, Brazil, Paraguay, northern Argentina, and Uruguay. The claim that it is endemic to Guadalupe Island is incorrect. (contradicted)","The Yellow-headed Caracara is a small, pale caracara found in open habitats such as agricultural land, grassland, savanna, and marshes. It is widely distributed across tropical and subtropical South America and the southern portion of Central America. Unlike the Guadalupe Caracara (an extinct species), the Yellow-headed Caracara is a common and widespread species. The description provided in the original entry appears to mistakenly describe the extinct Guadalupe Caracara (Caracara lutosa) rather than the Yellow-headed Caracara. (contradicted)","N/A (Information not readily available in concise format; nests are typically constructed high in trees, or on the ground where trees are unavailable.)"
Common,Eurasian Kestrel,Falco tinnunculus,The wingspan typically ranges from 65–82 cm (25.6–32.3 inches). (verified),The Eurasian Kestrel measures 32–39 cm (12.6–15.4 inches) in length. Females are marginally larger than males. (verified),"A sexually dimorphic species; males have a gray head and tail, the latter with a black subterminal band and white tip, black-spotted chestnut upperparts, and brown-black flight feathers, whereas females are characterized by more uniform chestnut upperparts with barring, and are more heavily and regularly marked than males, with darker and better-streaked underparts. Both sexes have a dark stripe or spot underneath each eye. (verified)","Ranging from Macaronesia and the British Isles in the west, east to Japan and northern Mainland Southeast Asia, and south to the central third of Africa and Sri Lanka. (verified)","The Eurasian Kestrel is geographically the most widespread of the Eastern Hemisphere kestrel species, ranging from Macaronesia and the British Isles in the west, east to Japan and northern Mainland Southeast Asia, and south to the central third of Africa and Sri Lanka. Throughout this massive range, northern populations tend to be migratory, reaching well south into Africa in winter. Eleven subspecies are accepted across the species’ distribution. (verified)","Breeding occurs in spring, typically April–May in temperate Eurasia; timing is variable in the tropics and southern Africa, often between August and December, normally coinciding with the dry season or austral spring. (verified)"
Common,American Kestrel,Falco sparverius,Approximately 20–25 inches (51–61 cm). (verified),Length is approximately 8.7–12.2 inches (22–31 cm). Females are typically larger than males. (verified),"Adults have two bold dark facial stripes. Males have blue-gray wings and a rufous tail with a single broad subterminal black band. Females are brown with black barring across the back, wings, and tail. (verified)","Found throughout the Western Hemisphere, ranging from Alaska and Canada down to Tierra del Fuego, Argentina. (verified)","The American Kestrel is the smallest, most widespread falcon in North America. It is sexually dichromatic and exhibits sexual size dimorphism, with females typically being larger than males. They inhabit open areas and are frequently seen perching on utility lines or hovering while hunting for insects and small vertebrates. As secondary cavity nesters, they readily use natural cavities and artificial nest boxes. (verified)",Breeding season varies by location but generally occurs from early spring (March/April) through late summer (August). (verified)
Common,Red-footed Falcon,Falco vespertinus,65–75 cm (26–30 in) (verified).,28–34 cm (11–13 in) in length (verified).,"Adult male is blue-grey with red undertail, legs, and cere. Female has grey back/wings, orange head and underparts, and white face with black eye stripe and moustaches. Juveniles are brown above and buff below with dark streaks and a face pattern similar to the female (verified).","Breeds across eastern Europe and Asia (e.g., Russia, Ukraine, Hungary, Romania, Serbia). Winters in southern and eastern Africa. Regular wanderer to western Europe (verified).","The Red-footed Falcon is a medium-small, long-winged bird of prey in the family Falconidae. It is migratory, breeding in eastern Europe and Asia and wintering in Africa (verified). Adults exhibit sexual dimorphism: males are predominantly blue-grey with red undertail and legs, while females have a grey back and wings with an orange head and underparts (verified). It is a colonial breeder that reuses old corvid nests (verified).",Colonial breeder. Female typically lays 3-4 eggs; both parents share incubation. Offspring are ready to fly approximately one month after hatching (verified). Breeding season is during the summer months in their breeding range (verified).
Uncommon,Merlin,Falco columbarius,The wingspan of the Merlin is typically 20 to 29 inches (50-73 cm). (verified),The Merlin is 9.4 to 13.0 inches (24-33 cm) long. (verified),"Merlins are small, compact, and robust falcons with sharply pointed wings, a broad chest, and a medium-length tail. Adult males typically have blue-grey upperparts and rusty underparts with dark streaks, while females and immatures are mostly brown with paler, streaked underparts. They generally lack the prominent facial (malar) stripes found in many other falcons. (verified)","The Merlin breeds across the northern Holarctic, including northern forests and prairies of North America, Europe, and Asia. Some populations migrate to subtropical and northern tropical regions during the winter. (verified)","The Merlin is a small, dashing falcon that breeds throughout the northern forests and prairies of North America, Europe, and Asia. Only slightly larger than the more common American Kestrel (Falco sparverius), it is heavier and in flight often appears considerably larger. The sexes differ in adult plumage, with females noticeably larger than males. This falcon was previously called the ""Pigeon Hawk"" because in flight it can be mistaken for a member of the pigeon family; its species name (columbarius) also refers to pigeons. There are nine subspecies. Primarily monogamous, the Merlin raises one brood each breeding season, laying its eggs in the abandoned nests of crows or hawks. (verified)",Merlins are primarily monogamous and raise one brood each breeding season. Breeding generally occurs during the spring and summer months across their northern range. (verified)
Common,Eurasian Hobby,Falco subbuteo,Wingspan of 74–84 cm (29–33 in). (verified),Length of 29–36 cm (11–14 in). (verified),"Adults have slate-grey or steel-blue upperparts, a white face with a bold black mask and moustachial stripe, and white underparts with heavy dark streaks. Distinctive russet-red ('red trousers') feathers are found on the thighs and undertail coverts. Juveniles are browner, with scaled upperparts and streaked buffy thighs. (verified)","Breeds across the Palearctic realm (Europe and Asia); migrates to winter in Africa south of the Sahara, the Indian Subcontinent, and Southeast Asia. (verified)","With its relatively long wings and exceptional aerial agility, the charismatic Eurasian Hobby is a true master of the skies. This athletic and highly maneuverable predator streaks through the air at high speeds to snatch its prey on the wing, including flying insects, small birds, and bats. Prey is seized high in the air mid-flight, or along forest edges, open fields, and over wetlands, where its favorite food—dragonflies—can be found. The species inhabits forests and plantations, often using abandoned crow nests to breed. A relatively late breeder, the fledging season often coincides with the intensifying autumn bird migration, when food supplies increase. (verified)","Late breeder; egg-laying typically occurs in June, with fledging from late July to early September. (verified)"
Rare,Aplomado Falcon,Falco femoralis,Approximately 32 to 40 inches (80–100 cm). (verified),Total length is approximately 12 to 18 inches (30–46 cm). (verified),"Adults are characterized by a dark blue-grey back and head, a distinctive white throat and eyebrow, a black 'moustache' mark, and a dark 'cummerbund' across the belly that separates a white breast from cinnamon-colored thighs and lower belly. They have a long, rounded, black-and-white barred tail. (verified)","From the southwestern United States south through Mexico, Central America, and most of South America to Tierra del Fuego. (verified)","The Aplomado Falcon is a colorful, long-tailed, long-legged falcon that inhabits lowland Neotropical savannas, coastal prairies, and higher-elevation grasslands from the southwestern United States south to Tierra del Fuego. It ranges from sea level to over 4,000 m in the Altiplano of Peru, Ecuador, and Chile. Severe eggshell thinning and pesticide contamination in eastern Mexico led to listing of the northern subspecies as a U.S. Endangered species in 1986. Proportioned and behaving somewhat like an accipiter hawk, it displays great speed, agility and persistence in aerial pursuits of doves and other medium-sized birds. Mated pairs remain together year-round and hunt cooperatively. Diet is mostly birds and insects, but includes small mammals and reptiles; the species also kleptoparasitizes other birds. The Aplomado Falcon nests in abandoned platform nests of corvids and raptors, in bromeliads, and sometimes on cliffs. Habitat loss due to farmland, overgrazing, and development poses threats. (verified)","Breeding timing varies significantly across its wide latitudinal range, generally occurring from February to August in the northern range (e.g., Mexico, Texas), while southern populations in Argentina and Chile may breed later in the year (e.g., September to January or even later). (verified)"
Common,Bat Falcon,Falco rufigularis,"Males 51–58 cm, females 65–67 cm. (verified)",Small; 23 to 30 cm in length. (verified),"The upperparts are predominantly bluish black, sometimes varying to bluish gray. The throat is white to buff, while the breast is marked with black and white bars, and the lower belly, thighs, and undertail coverts are a chestnut-rufous or orange color. (verified)","Humid lowland forests of the Neotropical region, from northern Mexico to northern Argentina, reaching elevations up to 1,500 m above sea level. (verified)","The Bat Falcon is a small falcon that is widely distributed in humid lowland forests of the Neotropical region, from northern Mexico to northern Argentina, reaching elevations up to 1,500 m above sea level. The upperparts are predominantly bluish black, sometimes varying to bluish gray depending on the region. The throat is white, while the breast is marked with white-and-black bars, and the lower belly and thighs are a distinctive orange color. The Bat Falcon can be distinguished from the similar and sympatric (but much rarer) Orange-breasted Falcon (Falco deiroleucus) by its smaller size, narrower white barring on the lower breast, more restricted orange on the upper breast, and more easily, by its distinctive vocalizations. This falcon’s flight is characterized by rapid and strong wingbeats, with agile turns and twists alternating with occasional glides. Its hunting method includes attacks launched from high, exposed perches to capture flying insects, birds, or bats. It is especially active during twilight hours and is not shy. The species nests in natural cavities of old trees or cliffs, but also in nest boxes, buildings and other human-made structures. The clutch size can vary between two and four eggs. The main threat to this species is deforestation. (verified)","The breeding season varies latitudinally, generally tied to the local dry season. Records indicate nesting activities occur from February to June in parts of Mexico and Guatemala, and generally between October and February in Argentina. Breeding periods in other parts of South America (e.g., Brazil, Peru) also vary, with egg-laying and chick-rearing documented at different times throughout the year depending on the specific region. (verified)"
Rare,Orange-breasted Falcon,Falco deiroleucus,"Reported wingspan is approximately 33 inches (83 cm), though other sources provide varying estimates such as 51.2 cm (disputed).",Males are typically 35–36 cm (14 inches) long; females are 38–40 cm (15–16 inches) long (verified).,"Distinguished from the Bat Falcon by being generally bulkier with a proportionally larger head and feet, coarser barring on the underparts, and a more distinct contrast between the white throat and the orange upper breast and neck sides (verified). The species exhibits high sexual size dimorphism, with females significantly larger than males (verified).","Historically ranged from southern Mexico through northern Argentina; currently found only locally throughout this expansive range, primarily near specific, well-known nesting locations (verified).","The Orange-breasted Falcon is a raptor of the Neotropics characterized by a robust, large-headed appearance with a pronounced size dimorphism between the sexes (verified). The female is significantly larger and heavier than the male, an adaptation thought to facilitate the partitioning of prey sizes. Their plumage is generally dark with a black head, white throat, and a distinct buffy-rufous orange band on the upper breast, which distinguishes them from the similarly-plumaged and smaller Bat Falcon (Falco rufigularis). They are found locally throughout an expansive range from southern Mexico through northern Argentina, typically in mature forest environments (verified).","Breeding occurs during dry seasons, which varies by region (e.g., December–May in parts of Central America, May–December in parts of Peru) (verified)."
Uncommon,Gyrfalcon,Falco rusticolus,110-160 cm (43-64 inches). (verified),"Length: 48-65 cm. Weight: 805-2,100 g (males generally 805-1,350 g, females 1,180-2,100 g). (verified)",Extremely variable plumage ranging from nearly pure white to nearly uniform dark gray-brown; lacks the black moustachial stripe seen in Peregrine Falcons. (verified),Circumpolar arctic and subarctic regions; individuals may disperse into northern temperate zones during fall and winter. (verified),"Largest of all falcons, the Gyrfalcon is a circumpolar arctic and subarctic raptor. It is a ptarmigan specialist and its breeding distribution is closely tied to that of the Rock Ptarmigan. (verified)","Breeding activities typically begin in late March to April, with egg-laying occurring from mid-April through May depending on latitude and local conditions. (verified)"
Common,Peregrine Falcon,Falco peregrinus,Wingspan: 29–47 inches (74–120 cm). (verified),Length: 14.2–21 inches (36–53 cm); females are significantly larger than males. (verified),"Adults typically have a dark grayish-black helmet/hood, white breast, barred belly and flanks, and dark gray upperparts. Juveniles are generally browner with streaked underparts. They exhibit long, pointed wings and a long, thin, barred tail. (verified)","The Peregrine Falcon is nearly cosmopolitan, occurring on every continent except Antarctica. They are found from the tundra to the tropics, in habitats ranging from coastal cliffs and wetlands to deserts and dense cities. (verified)","The Peregrine Falcon (meaning 'wanderer') is one of the most widely distributed terrestrial vertebrates, found globally in diverse habitats ranging from tundra to tropics. They are powerful, medium-to-large falcons recognized for their long, pointed wings and high-speed hunting dives. Once severely impacted by pesticides, they have made a significant recovery. They typically nest on cliff ledges, but also utilize tall urban structures. (verified)","Breeding season generally occurs between March and July, though timing varies significantly by region. Pairs often mate for life and return to the same nesting site annually. (verified)"
Uncommon,Prairie Falcon,Falco mexicanus,The wingspan ranges from approximately 35 to 44.5 inches (90 to 113 cm). (verified),The average length is 14 to 19 inches (36 to 49 cm). (verified),"A large, sandy-brown falcon with pointed wings. Distinctive features include a dark ear patch (or mustache mark), a white line over the eye, and a prominent dark triangular patch on the underwing 'armpits' visible in flight. Males and females have similar plumage, though females are larger. (verified)","Found in the dry, open, treeless environments of western North America, ranging from southern Canada, through the western United States, to northern Mexico. (verified)","A large raptor of the West’s wide-open spaces, this falcon glides above shrubby deserts and grasslands searching for medium-sized desert mammals and birds. It is a hardy, specialized predator that evolved in harsher, arid environments with low prey density. As a mammal-eating specialist, it survived the pesticide era better than the bird-eating Peregrine Falcon. Its plumage is muted cream, brown, and gray, blending with the cliffs and bluffs where it nests. (verified)","The breeding season varies by geography, typically beginning in late winter or early spring. Courtship and mate selection occur at least one month before egg-laying. The nesting season lasts for 3 to 4 months. (verified)"
Common,Painted Parakeet,Pyrrhura picta,"Specific wingspan data is not typically reported in standard biological descriptions, though it is a small parakeet. (unverified)",Approximately 20 to 23 cm (7.9 to 9.1 inches) in length. (verified),"Adults generally have a blue-washed forecrown, deep maroon hindcrown and nape, a narrow blue collar below the nape, and a maroon face with a ring of bare grayish skin around the eye and whitish ear coverts. The body is mostly green with a dull red lower back, rump, and center of the belly. The breast and sides of the neck are buff to brownish with a reddish-brown or yellowish scalloped appearance. The wings are mostly green with a red carpal area and blue primaries, and the tail is mostly maroon. (verified)","Found in northeastern South America, primarily from southeastern Venezuela east across the Guianas and northern Amazonian Brazil. (verified)","The Painted Parakeet is a small, strikingly colored parrot resident of the lowlands and foothills of northeastern South America, found from southeastern Venezuela to the Guianas and northern Amazonian Brazil. It typically inhabits humid terra firme and várzea forests, forested savanna, and coastal sand-ridge forests, often found in flocks within the canopy or lower stages of forest foraging for fruits, seeds, and flowers. (verified)",Specific mating season information for this species is not broadly documented or is highly variable across its wide range. (unverified)
Common,Sulphur-winged Parakeet,Pyrrhura hoffmanni,Reported as approximately 25.7 cm (10.1 in). (verified),Approximately 23 to 24 cm (9.1 to 9.4 in) in length. (verified),"Primarily green, with red auriculars (ear coverts), blue outer primaries, and yellow primary coverts and inner primaries which are very distinctive in flight. Tail is rufous-olive on top and reddish-brown below. Bare white skin surrounds the eye. Breast has a dull orange wash. (verified)","Highlands of southern Costa Rica and western Panama, typically 1200-3000 m elevation. (verified)","The Sulphur-winged Parakeet is the northernmost species in the large genus of Pyrrhura parakeets. This species occurs in the highlands of southern Costa Rica and western Panama, with an elevational range of approximately 1200-3000 m. The Sulphur-winged Parakeet is primarily green, with red auriculars, blue primaries, and a maroon under surface to the rectrices. There is a limited amount of yellow on the upper surface of the wing, but the Sulphur-winged Parakeet takes its name from the yellow underwing primary coverts and bright yellow bases to the under surfaces of the remiges. Sulphur-winged Parakeets occupy humid montane forest and forest edges, and are relatively tolerant of habitat disturbance; despite its small geographic range, this species is fairly common, and is not considered to be threatened. (verified)",Breeding is believed to occur mainly between January and June. (verified)
Common,Monk Parakeet,Myiopsitta monachus,The average wingspan is approximately 48 to 53 cm (19 to 21 inches). (verified),The average Monk Parakeet is approximately 28 to 30 cm (11 to 12 inches) in length. (verified),"Cowl-like gray face and chest, bright-green upperparts, pale gray breast with darker scalloping, very light-green to yellow underparts, long tapering tail, and orange bill. (verified)","Native to South America from Argentina to southern Brazil, Uruguay, Paraguay, and Bolivia; also found in North America, Europe, Israel, and elsewhere due to introduction. (verified)","Native to South America from Argentina to southern Brazil, Uruguay, Paraguay, and Bolivia, the Monk Parakeet now occurs in North America, Europe, Israel, and elsewhere due to its popularity as a pet. It is one of only two species of parrots that does not nest in a cavity, instead constructing bulky structures of sticks. While not a significant crop pest in North America, they often build nests on electrical utility poles, transformers, and substations, which can cause power outages and fires. Their cowl-like gray face and chest, reminiscent of religious attire, earned the species its 'Quaker' and 'monk' appellations. (verified)","Breeding typically occurs in the spring and summer. In their native South America (e.g., Argentina), this is generally October to February. In North America, egg-laying generally occurs from April to July, with occasional second clutches in early September. (verified)"
Legendary,Carolina Parakeet,Conuropsis carolinensis,Approximately 53 to 58 cm (21 to 23 inches) (verified).,Approximately 30 to 34 cm (11.8 to 13.4 inches) in length (verified).,"Mostly green plumage with lighter green underparts, a bright yellow head, and an orange face/forehead extending to behind the eyes. It had a long, pointed tail, pale flesh-colored beak, and white-ringed eyes (verified).","Historically found across much of the eastern and midwestern United States, from the Carolinas and Virginia to the Mississippi and Missouri River basins (verified).","The Carolina Parakeet was a vibrant, green, yellow, and orange bird that was once the only native parrot species in the eastern United States (verified). It was highly social, known for its loud vocalizations, and inhabited mature sycamore-dominated bottomlands and bald cypress swamps (verified). It is now extinct, with the western subspecies likely disappearing around 1914 and the eastern subspecies in the late 1930s or mid-1940s (verified). Factors in its decline included habitat destruction, persecution as a pest, and hunting for the millinery trade.","Specific information on the mating season, nest-site fidelity, and other breeding biology aspects was poorly documented and remains largely unknown (verified)."
Common,Olive-throated Parakeet,Eupsittula nana,Approximately 27 cm (10.6 inches). (unverified),The bird measures approximately 21.5 to 26 cm (8.5 to 10.2 inches) in length. (verified),"Pale bill, green head, back, and tail, an olive throat, bold whitish eyering, yellowish ear coverts, and rump. (verified)",Jamaica and the Caribbean slope of Central America from Mexico (Veracruz) south to western Panama (Bocas del Toro). (verified),"Olive-throated Parakeet is a common Eupsittula of forest and scrub in its range. Two subspecies are recognized, with the nominate subspecies found on Jamaica and the other distributed along the east slope of Central America. The Central American subspecies is sometimes treated as a separate species, 'Aztec Parakeet'. Olive-throated Parakeet has a pale bill, green head, back, and tail, an olive throat and bold, whitish eyering. The species is often located by the strident shrieks of flocks moving through the forest. (verified)","The breeding season varies by region: March–June in Jamaica, January–April in Costa Rica, and April–May in Belize and Guatemala. (verified)"
Common,Orange-fronted Parakeet,Eupsittula canicularis,The average wingspan is approximately 30 to 35 cm (verified).,The average length of the Orange-fronted Parakeet is 23 to 25 cm (verified).,"Primarily colored a dull green, it has an orange-peach forehead and lores, a dull blue mid-crown, a yellow eye-ring, an olive-brown throat and breast, a yellowish-green belly, and blue flight feathers (verified).","Found from western Mexico south to Costa Rica, specifically along the Pacific coast and foothills (verified).","The most numerous parrot on the Pacific Slope of Central America, this bird is known for inhabiting forest edges, deciduous woodlands, savannas, and even agricultural areas. It feeds primarily on fruits and flowers, and outside of the breeding season, large flocks have been known to cause damage to maize and ripening bananas. It nests primarily in self-excavated cavities in arboreal termitariums (verified).","The mating season occurs from January to May in Mexico and El Salvador, and during the dry season (December to March) in Costa Rica (verified)."
Common,Brown-throated Parakeet,Eupsittula pertinax,Approximately 22 to 27.3 cm (8.5 to 10.7 in). (verified),23 to 28 cm (9.1 to 11 in) in length and 76 to 102 g in weight. (verified),"Small parakeet (23–28 cm long) with a green upper body, yellowish belly with an orange center, and a distinctive brownish cheek and throat. The tail is long and pointed, and the wings are green with blue flight feathers visible during flight. Sexes are alike. (verified)","Native to northern South America, Caribbean islands (Aruba, Bonaire, Curaçao), southwestern Panama, and southern Amazonian Brazil. Expanded into southeastern Costa Rica and Puerto Rico. Naturalized in U.S. Virgin Islands, Trinidad, Guadeloupe, Martinique, and Dominica. Introduced in the Dominican Republic, South Africa, Spain, and the U.S. (verified)","The Brown-throated Parakeet is a small, green and grayish-brown parakeet with extensive geographic variation in plumage coloration, particularly in the amount of yellow and orange on the face, which has led to the description of 14 subspecies. Its native range includes northern South America and the adjacent Caribbean islands of Aruba, Bonaire, and Curaçao, with disjunct populations in southwestern Panama and southern Amazonian Brazil. The species has recently expanded into southeastern Costa Rica and Puerto Rico. It is naturalized in the U.S. Virgin Islands, Trinidad, Guadeloupe, Martinique, and Dominica. It has been introduced in the Dominican Republic, South Africa, Spain, and the U.S. Across its distribution, it is one of the most common psittacid species. It prefers open or semi-open habitats, from arid and semiarid scrub to deciduous and gallery forests, mangroves, forest edges, parks and gardens, orchards, and cultivated areas. The species occurs mainly in lowlands up to 1,200 m. The species is gregarious, being frequently observed in pairs and small or medium-sized groups, with large flocks congregating in the evening at communal roosts or at places with a concentrated food supply. It is resident, but local movements have been reported due to changes in food availability during the dry season. The Brown-throated Parakeet is a generalist, foraging on seeds, fruits, flowers, and leaves. Like most parrots, it is socially monogamous and nests in cavities excavated in active arboreal termitaria of Nassutitermes spp. Less frequently, it excavates nests in earthen banks, uses secondary cavities in trees, or crevices and holes in limestone cliffs and rock formations. The breeding season varies locally and can last several months, and, in some areas, may occur year-round. Clutch size is 3‒9 eggs, and only females incubate, although both parents feed the nestlings and fledglings. The incubation period is about 23 days, and chicks fledge in about 40 days. The Brown-throated Parakeet is not globally threatened, at least partly due to its large range and because its numbers appear to be stable, although the global population size has not been estimated. (verified)","The breeding season varies significantly by location. It generally shows no well-defined season across most of its range and may occur year-round, though some populations have specific periods, such as February to April in Colombia and Venezuela. (verified)"
Common,Nanday Parakeet,Aratinga nenday,20.1 to 21.3 inches (51–54 cm). (verified),Length of 27 to 37 cm (approx. 11–14.5 inches); weight around 140–150 grams. (verified),"Characterized by a prominent black facial mask or hood (covering forehead, crown, lores, and cheeks), a long pointed tail edged in blue, red feathers on the thighs, and blue flight feathers. Sexes are visually similar. (verified)","Native to south-central South America, including southeastern Bolivia, southwestern Brazil, Paraguay, and northern Argentina. (verified)","The Nanday Parakeet (also known as the Black-hooded Parakeet) is a medium-small, predominantly bright green parrot native to central South America. They inhabit gallery forests, deciduous forests, and palm stands, specifically in the Pantanal, moist chaco woodland, and low dry scrub. Their diet consists primarily of palm nuts, seeds, fruits, flowers, and buds. They are known for forming large, wandering flocks when not breeding. (verified)",The breeding season typically spans from October/November through March. (verified)
Common,Blue-and-yellow Macaw,Ara ararauna,104 cm to 114 cm. (verified),81 cm to 92 cm in length. (verified),"They feature a green forehead and crown, bright blue upperparts, and vivid yellow underparts, underwings, and tail underside. They have a white bare facial patch with thin, black feather lines around the eyes, a black beak, and a black throat/chinstrap. (verified)","Native to the Neotropics, ranging from eastern Panama through Colombia, Venezuela, the Guianas, Ecuador, Peru, and Bolivia to Brazil. They have been reintroduced to Trinidad. (verified)","The Blue-and-Yellow Macaw is a large, boldly colored Neotropical parrot with blue upperparts and rich yellow underparts, featuring a lime-green forehead and crown. They possess a distinctive white bare facial patch with sparse black feather lines and a black throat/chinstrap. They are highly intelligent, social birds often found in pairs or small groups in flooded forests, woodlands, and savannahs. While not globally threatened, their numbers are declining due to habitat loss and the pet trade. (verified)","The breeding season is typically during the first half of the year, often January through July, though timing varies significantly by location (e.g., April-May in Trinidad, February-June in Guyana). (verified)"
Common,Chestnut-fronted Macaw,Ara severus,The wingspan is approximately 47.9 cm (18.9 inches). (verified),"The Chestnut-fronted Macaw is approximately 40 to 50 cm (15.6 to 19.5 inches) long, with about half that length being the tail. (verified)","Green with a narrow dark chestnut frontal band, bare white facial patch with lines of small black feathers, red on the shoulders, carpal area, tail and lesser underwing-coverts, blue on the primary coverts, primaries and tip of the tail, turquoise vent. (verified)","Panama, Colombia, Ecuador, eastern Peru, Bolivia, Venezuela, and Brazil. (verified)","The Chestnut-fronted Macaw is a widely distributed and colorful resident of Panama, Colombia, Ecuador, eastern Peru and Bolivia east to Venezuela and Brazil. The Chestnut-fronted Macaw is green with a narrow dark chestnut frontal band, has a bare white facial patch, red on the shoulders, carpal area, tail and lesser underwing-coverts, blue on the primary coverts, primaries and tip of the tail and has a turquoise vent. This species has been recorded in a number of different types of habitat including seasonally flooded forest, gallery forest, swampy areas, second growth and occasionally humid lowland terra firme forest. The diet of the Chestnut-fronted Macaw is also highly variable and includes the seeds, pulp and flowers of a number of different types of plants. Unlike many other species of parrots and macaws, populations of the Chestnut-fronted Macaw appear to be stable. (verified)",The breeding season differs by location: typically February to March in Panama; March to May in Colombia; and September to December in the Guianas and Suriname. (verified)
Rare,Cuban Macaw,Ara tricolor,"While specific wingspan is not widely cited, the wing length was recorded as 27.5–29 cm (10.8–11.4 in). (verified)",Approximately 45–50 cm (18–20 in) long. (verified),"Small macaw with a red forehead fading to orange and yellow at the nape. It had a white, unfeathered facial area, yellow irises, and an all-black beak. The body was orange on the face, chin, chest, abdomen, and thighs, with brownish-red upper back feathers scalloped with green. The rump and lower back were blue, and the tail was red fading to blue at the tip. It lacked the yellow shoulder patch found on the Scarlet Macaw. (verified)",Endemic to Cuba; likely included Isla de la Juventud and possibly other Caribbean islands. (verified),"The Cuban Macaw is an extinct parrot endemic to Cuba and possibly Isla de la Juventud. It was one of the smallest macaws, with a red, orange, yellow, and white head, and a red, orange, green, brown, and blue body. It became extinct in the late 19th century, with the last confirmed specimen shot in 1864. Primary threats included hunting, trapping for the pet trade, and habitat loss. (verified)","Specific mating season dates are not recorded, but it is reported to have nested in hollows of palm trees. (verified)"
Common,Scarlet Macaw,Ara macao,100 to 120 cm (approximately 3.3 to 4 feet). (verified),"Approximately 84 to 89 cm (33 to 35 inches) in length, with the tail accounting for more than half of its total length. (verified)","Characterized by mostly scarlet plumage with light blue rump and tail-coverts, yellow median/secondary wing coverts (with green or blue tips depending on subspecies), and dark blue flight and tail feathers. Face is bare white skin with fine red feather streaks. Upper mandible is pale ivory, lower mandible is dark grey/black. (verified)","Native to the Neotropics, ranging from southern Mexico through Central America into northern South America, including Peru, Ecuador, Bolivia, and Brazil. Typically found in tropical evergreen and riparian forests up to 1,000 meters above sea level. (verified)","The Scarlet Macaw (Ara macao) is a large, colorful, long-tailed parrot native to the tropical forests of the Americas. It is known for its predominantly scarlet plumage with blue, yellow, and green wing coverts, a bare white facial area, and a powerful hooked bill. It is found in evergreen and riparian forests from southern Mexico to Brazil. (verified)","Breeding season varies by latitude, rainy seasons, and fruit availability. Generally observed as occurring every one to two years. (verified)"
